LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,AGCHRT,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
100005,1504840100000,1,95,0,ALABAMA,AL,3,3,21871000.0,1612000.0,13329000.0,6930000.0,24097000.0,19205000.0,12150000.0,5816000.0,1239000.0,291000.0,4010000.0,12277000.0,3219000.0
100006,1504800100000,1,95,0,ALABAMA,AL,3,3,46349000.0,3620000.0,29866000.0,12863000.0,45411000.0,38662000.0,22503000.0,12891000.0,3268000.0,1568000.0,4087000.0,25233000.0,6746000.0
100007,1503740100000,1,73,1000,ALABAMA,AL,3,3,97598000.0,1697000.0,39751000.0,56150000.0,121021000.0,62253000.0,37504000.0,21015000.0,3734000.0,1807000.0,50284000.0,39563000.0,10794000.0
100090,1500800200000,1,15,450,ALABAMA,AL,3,3,18820000.0,2841000.0,12137000.0,3842000.0,19399000.0,18075000.0,10024000.0,5937000.0,2114000.0,384000.0,912000.0,11504000.0,3076000.0
100100,1504880100000,1,95,0,ALABAMA,AL,3,3,15400000.0,566000.0,10620000.0,4214000.0,16735000.0,14025000.0,8878000.0,4309000.0,838000.0,308000.0,2402000.0,9435000.0,2418000.0
100180,1502800100000,1,55,2880,ALABAMA,AL,3,3,12448000.0,1298000.0,8320000.0,2830000.0,12406000.0,10713000.0,6901000.0,3051000.0,761000.0,299000.0,1023000.0,7161000.0,1830000.0
100210,1504170100000,1,81,580,ALABAMA,AL,3,3,30236000.0,1430000.0,17709000.0,11097000.0,29112000.0,26371000.0,16114000.0,8655000.0,1602000.0,516000.0,2164000.0,17660000.0,4511000.0
100240,1500100100000,1,1,5240,ALABAMA,AL,3,3,48294000.0,3344000.0,34783000.0,10167000.0,49796000.0,42037000.0,26648000.0,12921000.0,2468000.0,752000.0,4761000.0,28274000.0,7520000.0
100270,1500200100000,1,3,5160,ALABAMA,AL,3,3,150579000.0,10578000.0,78199000.0,61802000.0,138009000.0,128009000.0,81035000.0,40483000.0,6491000.0,2792000.0,5378000.0,84271000.0,22358000.0
100390,1503700200000,1,73,1000,ALABAMA,AL,3,3,271042000.0,28730000.0,162996000.0,79316000.0,303888000.0,243657000.0,135691000.0,94999000.0,12967000.0,5845000.0,51343000.0,161416000.0,40055000.0
100420,1500500100000,1,9,1000,ALABAMA,AL,3,3,43466000.0,2605000.0,31354000.0,9507000.0,40474000.0,34883000.0,21849000.0,10308000.0,2726000.0,888000.0,4478000.0,23120000.0,6293000.0
100450,1502700200000,1,53,0,ALABAMA,AL,3,3,9207000.0,573000.0,5809000.0,2825000.0,9107000.0,8244000.0,5395000.0,2516000.0,333000.0,25000.0,838000.0,5243000.0,1355000.0
100510,1500700100000,1,13,0,ALABAMA,AL,3,3,24589000.0,3481000.0,17288000.0,3820000.0,26085000.0,20693000.0,13020000.0,6322000.0,1351000.0,675000.0,4233000.0,13721000.0,3660000.0
100540,1500800300000,1,15,450,ALABAMA,AL,3,3,57560000.0,4821000.0,40836000.0,11903000.0,54712000.0,51610000.0,30661000.0,17153000.0,3796000.0,888000.0,2200000.0,33727000.0,9291000.0
100600,1500900100000,1,17,0,ALABAMA,AL,3,3,28056000.0,2865000.0,18512000.0,6679000.0,32065000.0,23290000.0,14140000.0,7537000.0,1613000.0,741000.0,7409000.0,15418000.0,4068000.0
100630,1501000100000,1,19,0,ALABAMA,AL,3,3,25320000.0,1662000.0,17519000.0,6139000.0,24592000.0,21390000.0,13505000.0,6290000.0,1595000.0,497000.0,2556000.0,13809000.0,3716000.0
100660,1501100100000,1,21,0,ALABAMA,AL,3,3,40550000.0,3035000.0,28829000.0,8686000.0,43895000.0,35255000.0,21799000.0,11084000.0,2372000.0,1043000.0,7322000.0,22833000.0,6044000.0
100690,1501200100000,1,23,0,ALABAMA,AL,3,3,14574000.0,2166000.0,9235000.0,3173000.0,14712000.0,13647000.0,8066000.0,4481000.0,1100000.0,328000.0,586000.0,9047000.0,2494000.0
100750,1501400100000,1,27,0,ALABAMA,AL,3,3,15418000.0,1150000.0,11517000.0,2751000.0,15953000.0,13529000.0,8702000.0,3942000.0,885000.0,527000.0,1716000.0,9029000.0,2437000.0
100810,1501600100000,1,31,0,ALABAMA,AL,3,3,13798000.0,1287000.0,9470000.0,3041000.0,13354000.0,11521000.0,7211000.0,3581000.0,729000.0,145000.0,1571000.0,7161000.0,1929000.0
100930,1502000200000,1,39,0,ALABAMA,AL,3,3,20603000.0,2310000.0,13878000.0,4415000.0,20297000.0,17454000.0,10660000.0,5594000.0,1200000.0,594000.0,2191000.0,11492000.0,3111000.0
100960,1502100100000,1,41,0,ALABAMA,AL,3,3,14571000.0,1830000.0,10225000.0,2516000.0,16559000.0,12606000.0,7917000.0,3855000.0,834000.0,352000.0,3498000.0,8267000.0,2183000.0
