LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
100240,3500100100000,4,1,0,ARIZONA,AZ,1,357000.0,0.0,76000.0,281000.0,363000.0,275000.0,130000.0,139000.0,6000.0,1000.0,16000.0,165000.0,47000.0
100270,3500100300000,4,1,0,ARIZONA,AZ,3,39577000.0,16882000.0,17258000.0,5437000.0,34778000.0,31568000.0,15099000.0,14299000.0,2170000.0,9000.0,3073000.0,20002000.0,3648000.0
101410,3500100600000,4,1,0,ARIZONA,AZ,3,24643000.0,6890000.0,15411000.0,2342000.0,24010000.0,21738000.0,6609000.0,13736000.0,1393000.0,0.0,1812000.0,9226000.0,1799000.0
100420,3500101200000,4,1,0,ARIZONA,AZ,3,9487000.0,4313000.0,4186000.0,988000.0,8959000.0,7064000.0,3485000.0,3004000.0,575000.0,2000.0,1832000.0,4504000.0,937000.0
102550,3500101300000,4,1,0,ARIZONA,AZ,3,6954000.0,503000.0,83000.0,6368000.0,6351000.0,5784000.0,3208000.0,2211000.0,365000.0,4000.0,492000.0,3814000.0,922000.0
100510,3500101600000,4,1,0,ARIZONA,AZ,3,24553000.0,9408000.0,12098000.0,3047000.0,26754000.0,20254000.0,10292000.0,8636000.0,1326000.0,138000.0,4311000.0,14140000.0,2589000.0
100090,3500140100000,4,1,0,ARIZONA,AZ,3,9651000.0,5144000.0,4111000.0,396000.0,7549000.0,6645000.0,3246000.0,3010000.0,389000.0,1000.0,903000.0,4299000.0,834000.0
100540,3500140200000,4,1,0,ARIZONA,AZ,1,543000.0,19000.0,241000.0,283000.0,488000.0,332000.0,160000.0,169000.0,3000.0,1000.0,19000.0,228000.0,32000.0
101860,3500200100000,4,3,0,ARIZONA,AZ,1,167000.0,31000.0,89000.0,47000.0,148000.0,123000.0,74000.0,48000.0,1000.0,0.0,2000.0,82000.0,14000.0
102635,3500200300000,4,3,0,ARIZONA,AZ,1,3559000.0,221000.0,2162000.0,1176000.0,3458000.0,3093000.0,1730000.0,1078000.0,285000.0,0.0,227000.0,2188000.0,397000.0
100600,3500200400000,4,3,0,ARIZONA,AZ,2,2901000.0,276000.0,1315000.0,1310000.0,2794000.0,2458000.0,1220000.0,1202000.0,36000.0,7000.0,180000.0,1738000.0,335000.0
100630,3500200600000,4,3,0,ARIZONA,AZ,3,1057000.0,46000.0,241000.0,770000.0,1053000.0,976000.0,411000.0,554000.0,11000.0,0.0,67000.0,678000.0,143000.0
100660,3500200700000,4,3,0,ARIZONA,AZ,3,36147000.0,3668000.0,19034000.0,13445000.0,32485000.0,27938000.0,15727000.0,10455000.0,1756000.0,199000.0,1137000.0,20069000.0,3613000.0
100690,3500200800000,4,3,0,ARIZONA,AZ,1,1256000.0,27000.0,2000.0,1227000.0,1047000.0,870000.0,518000.0,327000.0,25000.0,0.0,108000.0,585000.0,116000.0
100750,3500201200000,4,3,0,ARIZONA,AZ,1,983000.0,43000.0,762000.0,178000.0,972000.0,893000.0,584000.0,293000.0,16000.0,0.0,79000.0,615000.0,135000.0
100810,3500201400000,4,3,0,ARIZONA,AZ,1,360000.0,17000.0,244000.0,99000.0,372000.0,232000.0,150000.0,79000.0,3000.0,0.0,24000.0,164000.0,37000.0
103420,3500201900000,4,3,0,ARIZONA,AZ,1,650000.0,35000.0,490000.0,125000.0,612000.0,560000.0,318000.0,207000.0,35000.0,0.0,52000.0,369000.0,73000.0
100930,3500202700000,4,3,0,ARIZONA,AZ,3,7399000.0,660000.0,4071000.0,2668000.0,6706000.0,6127000.0,3118000.0,2619000.0,390000.0,3000.0,425000.0,4063000.0,1018000.0
102610,3500300100000,4,5,2620,ARIZONA,AZ,3,65315000.0,4850000.0,25808000.0,34657000.0,63872000.0,52167000.0,30542000.0,18541000.0,3084000.0,957000.0,6037000.0,35789000.0,7358000.0
100960,3500300200000,4,5,2620,ARIZONA,AZ,3,2777000.0,289000.0,1450000.0,1038000.0,2334000.0,2112000.0,1241000.0,736000.0,135000.0,0.0,153000.0,1406000.0,338000.0
100990,3500300300000,4,5,2620,ARIZONA,AZ,3,2874000.0,641000.0,692000.0,1541000.0,2462000.0,2154000.0,1255000.0,835000.0,64000.0,0.0,247000.0,1504000.0,249000.0
101020,3500300400000,4,5,2620,ARIZONA,AZ,1,1290000.0,52000.0,564000.0,674000.0,1166000.0,752000.0,376000.0,334000.0,42000.0,9000.0,154000.0,481000.0,105000.0
101050,3500300500000,4,5,2620,ARIZONA,AZ,3,22601000.0,11832000.0,8292000.0,2477000.0,18562000.0,16698000.0,8704000.0,7154000.0,840000.0,11000.0,1633000.0,11299000.0,2074000.0
101110,3500380100000,4,5,2620,ARIZONA,AZ,3,23071000.0,5355000.0,5662000.0,12054000.0,19662000.0,16638000.0,9067000.0,6280000.0,1291000.0,52000.0,1664000.0,10985000.0,2011000.0
102970,3500400100000,4,7,0,ARIZONA,AZ,3,10192000.0,757000.0,6688000.0,2747000.0,9962000.0,9279000.0,5074000.0,3501000.0,704000.0,26000.0,635000.0,6324000.0,1293000.0
101140,3500400200000,4,7,0,ARIZONA,AZ,3,4654000.0,257000.0,1162000.0,3235000.0,4127000.0,3076000.0,1538000.0,1254000.0,284000.0,30000.0,793000.0,1947000.0,292000.0
101290,3500400400000,4,7,0,ARIZONA,AZ,1,484000.0,3000.0,243000.0,238000.0,443000.0,300000.0,203000.0,94000.0,3000.0,0.0,30000.0,201000.0,42000.0
100450,3500400600000,4,7,0,ARIZONA,AZ,1,2419000.0,90000.0,902000.0,1427000.0,2009000.0,1310000.0,728000.0,502000.0,80000.0,6000.0,54000.0,885000.0,210000.0
101350,3500400700000,4,7,0,ARIZONA,AZ,3,14041000.0,6656000.0,6077000.0,1308000.0,10245000.0,8998000.0,4678000.0,3531000.0,789000.0,0.0,1247000.0,5999000.0,1141000.0
100180,3500401000000,4,7,0,ARIZONA,AZ,3,811000.0,40000.0,213000.0,558000.0,783000.0,742000.0,427000.0,284000.0,31000.0,0.0,41000.0,505000.0,104000.0
101380,3500500100000,4,9,0,ARIZONA,AZ,1,687000.0,17000.0,478000.0,192000.0,695000.0,568000.0,342000.0,221000.0,5000.0,0.0,65000.0,374000.0,96000.0
101620,3500500300000,4,9,0,ARIZONA,AZ,3,5327000.0,2539000.0,2535000.0,253000.0,3927000.0,3405000.0,1674000.0,1467000.0,264000.0,0.0,375000.0,2252000.0,460000.0
101470,3500500400000,4,9,0,ARIZONA,AZ,6,32000.0,0.0,24000.0,8000.0,57000.0,33000.0,1000.0,32000.0,0.0,0.0,0.0,14000.0,1000.0
101590,3500500500000,4,9,0,ARIZONA,AZ,3,3443000.0,317000.0,2644000.0,482000.0,3257000.0,2803000.0,1603000.0,960000.0,240000.0,0.0,237000.0,1842000.0,350000.0
101660,3500500700000,4,9,0,ARIZONA,AZ,1,1357000.0,138000.0,913000.0,306000.0,1251000.0,940000.0,451000.0,408000.0,81000.0,0.0,17000.0,551000.0,131000.0
101680,3500600100000,4,11,0,ARIZONA,AZ,1,56000.0,0.0,31000.0,25000.0,47000.0,45000.0,32000.0,12000.0,1000.0,0.0,2000.0,29000.0,3000.0
101710,3500600200000,4,11,0,ARIZONA,AZ,3,2132000.0,119000.0,722000.0,1291000.0,2587000.0,1722000.0,904000.0,684000.0,134000.0,0.0,672000.0,1220000.0,306000.0
101740,3500600300000,4,11,0,ARIZONA,AZ,3,3072000.0,139000.0,1324000.0,1609000.0,3307000.0,3046000.0,1572000.0,1282000.0,192000.0,0.0,259000.0,1932000.0,424000.0
101230,3500600400000,4,11,0,ARIZONA,AZ,3,6472000.0,111000.0,1000.0,6360000.0,6046000.0,4641000.0,2516000.0,1902000.0,223000.0,157000.0,926000.0,3453000.0,481000.0
101770,3500690100000,4,11,0,ARIZONA,AZ,3,35000.0,0.0,12000.0,23000.0,57000.0,48000.0,38000.0,9000.0,1000.0,0.0,9000.0,28000.0,10000.0
