LEAID,CENSUSID,FIPST,FIPSCO,CMSA,STNAME,STABBR,SCHLEV,AGCHRT,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,TCURINST,TCURSSVC,TCUROTH,TNONELSE,TCAPOUT,TotalSalaries,TotalEmployeeBenefits
100390,1504840100000,1,95,0,ALABAMA,AL,3,3,19423000.0,1488000.0,12305000.0,5630000.0,18997000.0,17649000.0,10875000.0,5631000.0,1143000.0,229000.0,1069000.0,11850000.0,2462000.0
100420,1504800100000,1,95,0,ALABAMA,AL,3,3,41386000.0,3438000.0,26186000.0,11762000.0,40933000.0,35430000.0,20869000.0,11415000.0,3146000.0,618000.0,4268000.0,23775000.0,5046000.0
100450,1503740100000,1,73,1000,ALABAMA,AL,3,3,81607000.0,1559000.0,33526000.0,46522000.0,80488000.0,56263000.0,34854000.0,17848000.0,3561000.0,1490000.0,17792000.0,36799000.0,8048000.0
100510,1506200200000,1,123,0,ALABAMA,AL,3,3,21266000.0,1211000.0,13166000.0,6889000.0,21453000.0,18939000.0,12201000.0,5773000.0,965000.0,30000.0,2074000.0,12769000.0,2651000.0
100540,1502000100000,1,39,0,ALABAMA,AL,3,3,11438000.0,1001000.0,7307000.0,3130000.0,11148000.0,9131000.0,5980000.0,2545000.0,606000.0,243000.0,1774000.0,6382000.0,1300000.0
100600,1500800200000,1,15,450,ALABAMA,AL,3,3,23639000.0,2573000.0,12833000.0,8233000.0,21628000.0,18010000.0,10292000.0,5784000.0,1934000.0,116000.0,3462000.0,11632000.0,2491000.0
100630,1504880100000,1,95,0,ALABAMA,AL,3,3,15572000.0,739000.0,10687000.0,4146000.0,15306000.0,13001000.0,8357000.0,3814000.0,830000.0,205000.0,2004000.0,8911000.0,1799000.0
100660,1504200100000,1,83,3440,ALABAMA,AL,3,3,21337000.0,1096000.0,10476000.0,9765000.0,22133000.0,18902000.0,12129000.0,5657000.0,1116000.0,868000.0,1711000.0,12931000.0,2595000.0
100690,1502800100000,1,55,2880,ALABAMA,AL,3,3,11701000.0,1108000.0,7983000.0,2610000.0,10893000.0,9990000.0,6264000.0,3014000.0,712000.0,194000.0,441000.0,6825000.0,1390000.0
100750,1500100100000,1,1,5240,ALABAMA,AL,3,3,47061000.0,3163000.0,33869000.0,10029000.0,51663000.0,38544000.0,24096000.0,12095000.0,2353000.0,796000.0,10514000.0,27070000.0,5681000.0
100810,1500300100000,1,5,0,ALABAMA,AL,3,3,10914000.0,1794000.0,7432000.0,1688000.0,14089000.0,10430000.0,6199000.0,3132000.0,1099000.0,2547000.0,920000.0,7075000.0,1524000.0
100930,1500500100000,1,9,1000,ALABAMA,AL,3,3,37259000.0,2551000.0,26229000.0,8479000.0,37038000.0,32115000.0,19937000.0,9555000.0,2623000.0,819000.0,3844000.0,22134000.0,4761000.0
100960,1502700200000,1,53,0,ALABAMA,AL,3,3,8783000.0,634000.0,5349000.0,2800000.0,8408000.0,7606000.0,5080000.0,2187000.0,339000.0,0.0,802000.0,5019000.0,1054000.0
100990,1500600100000,1,11,0,ALABAMA,AL,3,3,10975000.0,1984000.0,7506000.0,1485000.0,10741000.0,10088000.0,5610000.0,3547000.0,931000.0,74000.0,579000.0,6894000.0,1489000.0
101020,1500700100000,1,13,0,ALABAMA,AL,3,3,29676000.0,3398000.0,15420000.0,10858000.0,29207000.0,19804000.0,12311000.0,6139000.0,1354000.0,336000.0,8738000.0,13621000.0,2887000.0
101050,1500800300000,1,15,450,ALABAMA,AL,3,3,55122000.0,3954000.0,39626000.0,11542000.0,55103000.0,50415000.0,28873000.0,17912000.0,3630000.0,136000.0,4528000.0,33285000.0,7253000.0
101110,1501000100000,1,19,0,ALABAMA,AL,3,3,22665000.0,1842000.0,15358000.0,5465000.0,22128000.0,19816000.0,12524000.0,5665000.0,1627000.0,400000.0,1764000.0,13255000.0,2830000.0
101140,1501100100000,1,21,0,ALABAMA,AL,3,3,34366000.0,2614000.0,24318000.0,7434000.0,35434000.0,32573000.0,20353000.0,10069000.0,2151000.0,905000.0,1799000.0,21844000.0,4580000.0
101170,1501200100000,1,23,0,ALABAMA,AL,3,3,14431000.0,2066000.0,9367000.0,2998000.0,14834000.0,13120000.0,7909000.0,4091000.0,1120000.0,251000.0,1381000.0,8933000.0,1944000.0
101230,1501400100000,1,27,0,ALABAMA,AL,3,3,14345000.0,1132000.0,10458000.0,2755000.0,14672000.0,12712000.0,7985000.0,3721000.0,1006000.0,465000.0,1412000.0,9039000.0,1921000.0
101290,1501600100000,1,31,0,ALABAMA,AL,3,3,12308000.0,1472000.0,8007000.0,2829000.0,11603000.0,10847000.0,6761000.0,3376000.0,710000.0,115000.0,541000.0,7019000.0,1513000.0
101350,1501800100000,1,35,0,ALABAMA,AL,3,3,12359000.0,1958000.0,8406000.0,1995000.0,12523000.0,11707000.0,6970000.0,3745000.0,992000.0,290000.0,263000.0,7793000.0,1681000.0
101380,1501900100000,1,37,0,ALABAMA,AL,3,3,9747000.0,1088000.0,7012000.0,1647000.0,10169000.0,9221000.0,5411000.0,3030000.0,780000.0,171000.0,777000.0,6345000.0,1365000.0
101410,1502000200000,1,39,0,ALABAMA,AL,3,3,20441000.0,2197000.0,13574000.0,4670000.0,20397000.0,16169000.0,9719000.0,5235000.0,1215000.0,551000.0,3615000.0,10997000.0,2346000.0
101470,1502200100000,1,43,0,ALABAMA,AL,3,3,15291000.0,1464000.0,9070000.0,4757000.0,15959000.0,14084000.0,9172000.0,3952000.0,960000.0,559000.0,944000.0,9469000.0,1971000.0
101530,1502200200000,1,43,0,ALABAMA,AL,3,3,60490000.0,8045000.0,39903000.0,12542000.0,61758000.0,46873000.0,28270000.0,14802000.0,3801000.0,1825000.0,13045000.0,31162000.0,6527000.0
101590,1502370100000,1,45,2180,ALABAMA,AL,3,3,10453000.0,1245000.0,7674000.0,1534000.0,9937000.0,8686000.0,5430000.0,2626000.0,630000.0,8000.0,1042000.0,5996000.0,1307000.0
101620,1502400100000,1,47,0,ALABAMA,AL,3,3,26768000.0,3826000.0,19490000.0,3452000.0,28390000.0,25559000.0,15170000.0,8519000.0,1870000.0,424000.0,2047000.0,17551000.0,3747000.0
101660,1505200100000,1,103,2030,ALABAMA,AL,3,3,61312000.0,3617000.0,30302000.0,27393000.0,57552000.0,53134000.0,30955000.0,18728000.0,3451000.0,730000.0,2286000.0,36288000.0,7486000.0
101680,1504600100000,1,91,0,ALABAMA,AL,3,3,12513000.0,1388000.0,8399000.0,2726000.0,12356000.0,10987000.0,7189000.0,2850000.0,948000.0,313000.0,1029000.0,7441000.0,1512000.0
101690,1503500100000,1,69,2180,ALABAMA,AL,3,3,54273000.0,6463000.0,32891000.0,14919000.0,56544000.0,52655000.0,31655000.0,17591000.0,3409000.0,424000.0,2652000.0,36077000.0,7520000.0
101710,1501600200000,1,31,0,ALABAMA,AL,3,3,6306000.0,683000.0,4191000.0,1432000.0,6330000.0,6022000.0,3500000.0,2009000.0,513000.0,63000.0,242000.0,3989000.0,820000.0
101740,1502700300000,1,53,0,ALABAMA,AL,3,3,29988000.0,3398000.0,19980000.0,6610000.0,31208000.0,26720000.0,15502000.0,9397000.0,1821000.0,433000.0,4055000.0,18219000.0,3957000.0
101760,1502800200000,1,55,2880,ALABAMA,AL,3,3,48186000.0,2944000.0,34445000.0,10797000.0,47985000.0,41384000.0,26917000.0,11851000.0,2616000.0,757000.0,5379000.0,29198000.0,6086000.0
101770,1500300200000,1,5,0,ALABAMA,AL,3,3,19171000.0,1633000.0,12181000.0,5357000.0,17985000.0,15739000.0,9925000.0,4686000.0,1128000.0,372000.0,1873000.0,10431000.0,2227000.0
101800,1503700300000,1,73,1000,ALABAMA,AL,3,3,12824000.0,1363000.0,8380000.0,3081000.0,11457000.0,10936000.0,6681000.0,3311000.0,944000.0,218000.0,302000.0,7548000.0,1540000.0
101830,1502900100000,1,57,0,ALABAMA,AL,3,3,16264000.0,1341000.0,11584000.0,3339000.0,15672000.0,14002000.0,8680000.0,4366000.0,956000.0,502000.0,979000.0,9736000.0,2049000.0
101860,1503900100000,1,77,2650,ALABAMA,AL,3,3,32636000.0,3508000.0,15875000.0,13253000.0,36337000.0,30538000.0,19030000.0,9850000.0,1658000.0,160000.0,5297000.0,20247000.0,4011000.0
101890,1502500200000,1,49,0,ALABAMA,AL,3,3,14586000.0,1056000.0,9963000.0,3567000.0,15026000.0,13119000.0,8211000.0,3720000.0,1188000.0,94000.0,1352000.0,8709000.0,1787000.0
101920,1503000100000,1,59,0,ALABAMA,AL,3,3,18783000.0,1502000.0,12330000.0,4951000.0,18993000.0,17263000.0,10997000.0,4995000.0,1271000.0,521000.0,1051000.0,11734000.0,2542000.0
101950,1502800300000,1,55,2880,ALABAMA,AL,3,3,35505000.0,4171000.0,21138000.0,10196000.0,35302000.0,33008000.0,19910000.0,10374000.0,2724000.0,370000.0,1791000.0,21838000.0,4477000.0
102010,1503100100000,1,61,0,ALABAMA,AL,3,3,15125000.0,1463000.0,10862000.0,2800000.0,15025000.0,13446000.0,8563000.0,3815000.0,1068000.0,478000.0,947000.0,9180000.0,1958000.0
102040,1503200100000,1,63,0,ALABAMA,AL,3,3,11458000.0,2205000.0,7546000.0,1707000.0,12815000.0,11777000.0,6819000.0,3759000.0,1199000.0,78000.0,960000.0,7923000.0,1706000.0
102070,1504880200000,1,95,0,ALABAMA,AL,3,3,11508000.0,662000.0,6772000.0,4074000.0,10935000.0,9879000.0,6096000.0,3094000.0,689000.0,421000.0,595000.0,6842000.0,1380000.0
102100,1503300100000,1,65,0,ALABAMA,AL,3,3,20619000.0,2575000.0,13972000.0,4072000.0,23758000.0,17289000.0,10895000.0,5000000.0,1394000.0,450000.0,5722000.0,11733000.0,2504000.0
102160,1505290100000,1,103,2030,ALABAMA,AL,3,3,18134000.0,681000.0,11275000.0,6178000.0,17942000.0,16613000.0,11016000.0,4476000.0,1121000.0,76000.0,1112000.0,11726000.0,2403000.0
102190,1503400100000,1,67,0,ALABAMA,AL,3,3,16153000.0,1516000.0,11268000.0,3369000.0,15917000.0,14829000.0,9268000.0,4214000.0,1347000.0,257000.0,594000.0,10325000.0,2205000.0
