NumSchools,NationSizeRank,StateSizeRank,C_C14,CoreExpendPerPupil,CEPPNationRank,CEPPStateRank,TotalCurrExpend,PercExpendInstruction,CurrExpendPerPupil,TotalFedRev,PercRevFederal,TotLocalRev,PercRevLocal,RelatedChildreninPoverty,PercExpendInstructorSalary,PercExpendSalaries,KidsinDistrict,TotStateRev,PercRevState,TotExpendInstruction,DistrictTotExpend,TotPopinDistrict,TotExpendperPupil,TotalSalariesandWages,InstructionalSalaries,CCDIDLEA,NumContinueTeachers,DistrictOrLEA,Gr1-12orNot,MergedDistrict,BeginTime,TotalEnrollment,EnrollK-12,HispanicStudents,WhiteStudents,BlackStudents,AmericanIndianStudents,AsianStudents,K-12byRace,EligFreeLunch,EligFreeLunchK-12,ParticLunchProg,ApprovedK-12,DaysSchYr,HispanicTeachers,WhiteTeachers,BlackTeachers,AmericanIndianTeachers,AsianTeachers,FTETeachersCnt,NewTeacherHires,DismissedTeachers<4yrs,DismissedTeachers>4yrs,UnionAgreement,AgreementType,TeacherContractYear,SalarySchedule,BA-NoExp,BA-10yrs,MS-NoExp,MS-30Cr,MS-20yrs,HighestSteponSalarySchd,LowestSalary,HighestSalary,BenefitRateTeacher,BenefitRateNonProf,Benefit-Admin-Same/Other,BenefitAdminRate,Benefit-Aides-Same/Other,BenefitRateAides,OtherAgencyContribrute,OtherAgencyContributeRate,Benefit-Medical,Benefit-Dental,Benefit-Life,Benefit-Housing,Benefit-Meal,Benefit-Transport,HasCharter,NumCharter,MigrantStudentLstYr,MigrantStudentLstSmr,NumMigrantStudent,LEASIZE,NumMinorityStudentsDistrict,NumMinorityTeachers,PercStudApprovedLunchDisc,PercStudEligLunchDisc,REGION,STATE,STCNTY,SURVEY,URBANID,CNTLNUM,DFNLWGT
6.0,3035.0,67.0,506000.0,3582.0,10464.0,38.0,16686000.0,56.5,5144.0,1484000.0,8.3,4997000.0,27.9,580.0,68.1,63.8,2788.0,11399000.0,63.8,10027000.0,17733000.0,16486.0,5466.0,10648000.0,7253000.0,100005,198.0,1.0,1.0,2.0,915.0,3480.0,3480.0,501.0,2918.0,56.0,0.0,5.0,3480.0,1.0,1445.0,1.0,1445.0,175.0,1.0,220.0,0.0,0.0,0.0,220.8,23.0,2.0,0.0,2.0,-8.0,1.0,1.0,28349.0,32084.0,32652.0,35208.0,38366.0,44938.0,-8.0,-8.0,20.1,31.5,1.0,20.1,3.0,36.2,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-8.0,1.0,1.0,453.0,5.0,562.0,1.0,41.52,41.52,3,1,1095,1,3.0,104534,1.6829
14.0,1271.0,26.0,1168000.0,3087.0,12186.0,77.0,33059000.0,53.0,4789.0,3114000.0,8.0,10303000.0,26.5,1787.0,65.5,64.4,8548.0,25498000.0,65.5,19350000.0,36492000.0,48297.0,5286.0,21277000.0,13930000.0,100006,395.0,1.0,1.0,2.0,725.0,7091.0,7015.0,176.0,6804.0,21.0,2.0,12.0,7015.0,1.0,3289.0,1.0,3289.0,177.0,0.0,441.0,1.0,0.0,2.0,339.1,49.0,0.0,0.0,2.0,-8.0,1.0,1.0,28394.0,32084.0,32652.0,35208.0,38366.0,44938.0,-8.0,-8.0,20.0,29.0,2.0,17.0,3.0,17.0,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-8.0,1.0,1.0,135.0,6.0,211.0,3.0,46.89,46.89,3,1,1095,1,3.0,102232,1.2018
11.0,910.0,15.0,145000.0,3733.0,8393.0,15.0,50193000.0,48.9,5544.0,2152000.0,3.0,37960000.0,53.6,173.0,69.8,65.3,7447.0,30705000.0,43.4,30966000.0,63353000.0,46356.0,6997.0,32761000.0,22876000.0,100007,578.0,1.0,1.0,2.0,828.0,9540.0,9507.0,234.0,8023.0,911.0,13.0,326.0,9507.0,1.0,475.0,1.0,475.0,176.0,22.0,631.0,33.0,0.0,3.0,689.0,111.0,6.0,0.0,2.0,-8.0,1.0,1.0,28706.0,35862.0,33012.0,35595.0,40975.0,46579.0,-8.0,-8.0,22.1,29.9,2.0,18.0,3.0,37.8,1.0,18.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-8.0,2.0,2.0,-8.0,6.0,1484.0,58.0,5.0,5.0,3,1,1073,1,2.0,103126,1.0
9.0,2965.0,62.0,852000.0,3484.0,8942.0,19.0,18165000.0,50.7,5437.0,2600000.0,12.4,5487000.0,26.1,1957.0,64.2,64.0,4864.0,12907000.0,61.5,10162000.0,20040000.0,27714.0,5998.0,11625000.0,7465000.0,100090,230.0,1.0,1.0,2.0,-9.0,2995.0,2995.0,75.0,120.0,2800.0,0.0,0.0,2995.0,1.0,2500.0,1.0,2500.0,175.0,0.0,162.0,88.0,0.0,0.0,250.0,20.0,0.0,0.0,2.0,-8.0,1.0,1.0,28000.0,31311.0,32292.0,34821.0,37458.0,44442.0,-8.0,-8.0,10.0,12.0,1.0,10.0,2.0,12.0,1.0,24.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-8.0,2.0,2.0,-8.0,5.0,2875.0,88.0,83.47,83.47,3,1,1015,1,1.0,100665,1.7727
4.0,3564.0,79.0,122000.0,3071.0,13889.0,125.0,11772000.0,58.2,4218.0,540000.0,3.9,3580000.0,25.7,253.0,71.8,66.1,1317.0,9806000.0,70.4,7450000.0,12802000.0,8157.0,4587.0,7776000.0,5584000.0,100100,164.0,1.0,1.0,2.0,-9.0,2645.0,2645.0,3.0,2630.0,0.0,3.0,9.0,2645.0,1.0,411.0,1.0,392.0,175.0,0.0,197.0,0.0,0.0,0.0,197.0,33.0,3.0,0.0,2.0,-8.0,1.0,1.0,28394.0,32085.0,32653.0,32653.0,38367.0,45505.0,-8.0,-8.0,28.0,28.0,1.0,28.0,2.0,28.0,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-8.0,2.0,2.0,-8.0,5.0,15.0,0.0,14.82,15.54,3,1,1095,1,3.0,104627,1.82
5.0,4806.0,102.0,360000.0,3245.0,12523.0,84.0,9445000.0,55.0,4711.0,1027000.0,9.3,2382000.0,21.7,295.0,68.3,66.4,1357.0,7583000.0,69.0,5853000.0,10638000.0,7387.0,5306.0,6270000.0,4280000.0,100180,117.0,1.0,1.0,2.0,1015.0,1814.0,1814.0,44.0,1533.0,235.0,2.0,0.0,1814.0,1.0,958.0,1.0,958.0,175.0,0.0,122.0,10.0,0.0,0.0,123.0,15.0,0.0,0.0,2.0,-8.0,1.0,1.0,28394.0,32084.0,32652.0,35208.0,38366.0,44938.0,-8.0,-8.0,22.8,22.8,1.0,22.8,2.0,22.8,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-8.0,1.0,2.0,20.0,4.0,281.0,10.0,52.81,52.81,3,1,1055,1,2.0,101240,2.4945
7.0,2302.0,45.0,460000.0,4087.0,8032.0,11.0,23478000.0,43.9,5609.0,1387000.0,5.7,9023000.0,37.3,765.0,69.8,67.8,3922.0,13807000.0,57.0,14821000.0,33796000.0,39206.0,8074.0,15914000.0,11112000.0,100210,256.0,1.0,1.0,2.0,911.0,4355.0,4355.0,30.0,2684.0,1441.0,2.0,198.0,4355.0,1.0,1171.0,1.0,1171.0,175.0,3.0,260.0,33.0,1.0,0.0,297.0,41.0,2.0,2.0,1.0,2.0,1.0,1.0,29208.0,35484.0,32844.0,35412.0,42600.0,50231.0,-8.0,-8.0,71.9,28.0,2.0,0.7,3.0,0.3,1.0,24.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-8.0,1.0,2.0,2.0,5.0,1671.0,37.0,26.89,26.89,3,1,1081,1,1.0,103327,1.381
12.0,1024.0,20.0,1031000.0,3122.0,13371.0,112.0,36579000.0,47.4,4455.0,3119000.0,7.6,9330000.0,22.9,1464.0,68.1,66.8,8585.0,28365000.0,69.5,22020000.0,46454000.0,42193.0,5658.0,24452000.0,16654000.0,100240,458.0,1.0,1.0,2.0,1230.0,8536.0,8536.0,55.0,6417.0,2016.0,13.0,35.0,8536.0,1.0,3140.0,1.0,3140.0,175.0,2.0,413.0,108.0,0.0,1.0,516.0,66.0,3.0,0.0,2.0,-8.0,1.0,1.0,28395.0,32085.0,32653.0,35208.0,38857.0,44939.0,-8.0,-8.0,24.1,46.1,2.0,20.1,2.0,46.1,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-8.0,2.0,2.0,-8.0,6.0,2119.0,111.0,36.79,36.79,3,1,1001,1,2.0,102220,1.0
37.0,278.0,6.0,2504000.0,3487.0,11927.0,69.0,105588000.0,47.6,4850.0,7741000.0,6.1,49903000.0,39.3,3915.0,69.8,66.5,23872.0,69434000.0,54.6,65703000.0,138146000.0,132857.0,6345.0,70169000.0,48952000.0,100270,1874.0,1.0,1.0,2.0,-9.0,22730.0,22314.0,161.0,14106.0,5991.0,1737.0,319.0,22314.0,1.0,3459.0,1.0,3459.0,176.0,0.0,1861.0,196.0,0.0,7.0,1800.0,190.0,15.0,0.0,2.0,-8.0,1.0,1.0,28394.0,33788.0,32652.0,32652.0,38857.0,44938.0,-8.0,-8.0,14.1,14.1,1.0,14.1,2.0,14.1,2.0,-8.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,439.0,7.0,8208.0,203.0,15.5,15.5,3,1,1003,1,2.0,101279,1.0
93.0,118.0,3.0,11729000.0,3546.0,10711.0,42.0,203044000.0,55.1,5098.0,25145000.0,11.5,56933000.0,26.0,13952.0,66.7,67.8,44933.0,136554000.0,62.5,122418000.0,222064000.0,268759.0,5575.0,137730000.0,91864000.0,100390,2125.0,1.0,1.0,2.0,200.0,39476.0,39476.0,80.0,1880.0,37511.0,1.0,4.0,39476.0,1.0,27233.0,1.0,27233.0,178.0,25.0,800.0,1600.0,0.0,0.0,2400.0,300.0,40.0,0.0,1.0,2.0,1.0,1.0,29210.0,35176.0,33188.0,36130.0,40276.0,47097.0,-8.0,-8.0,25.0,25.0,1.0,25.0,2.0,25.0,2.0,-8.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-8.0,2.0,2.0,-8.0,7.0,37596.0,1625.0,68.99,68.99,3,1,1073,1,1.0,102433,1.0
